,,Pos,Driver,Nationality,Car,PTS,
0,,1,"

Max
Verstappen
VER

",NED,"
Red Bull Racing Honda RBPT
",575,
1,,2,"

Sergio
Perez
PER

",MEX,"
Red Bull Racing Honda RBPT
",285,
2,,3,"

Lewis
Hamilton
HAM

",GBR,"
Mercedes
",234,
3,,4,"

Fernando
Alonso
ALO

",ESP,"
Aston Martin Aramco Mercedes
",206,
4,,5,"

Charles
Leclerc
LEC

",MON,"
Ferrari
",206,
5,,6,"

Lando
Norris
NOR

",GBR,"
McLaren Mercedes
",205,
6,,7,"

Carlos
Sainz
SAI

",ESP,"
Ferrari
",200,
7,,8,"

George
Russell
RUS

",GBR,"
Mercedes
",175,
8,,9,"

Oscar
Piastri
PIA

",AUS,"
McLaren Mercedes
",97,
9,,10,"

Lance
Stroll
STR

",CAN,"
Aston Martin Aramco Mercedes
",74,
10,,11,"

Pierre
Gasly
GAS

",FRA,"
Alpine Renault
",62,
11,,12,"

Esteban
Ocon
OCO

",FRA,"
Alpine Renault
",58,
12,,13,"

Alexander
Albon
ALB

",THA,"
Williams Mercedes
",27,
13,,14,"

Yuki
Tsunoda
TSU

",JPN,"
AlphaTauri Honda RBPT
",17,
14,,15,"

Valtteri
Bottas
BOT

",FIN,"
Alfa Romeo Ferrari
",10,
15,,16,"

Nico
Hulkenberg
HUL

",GER,"
Haas Ferrari
",9,
16,,17,"

Daniel
Ricciardo
RIC

",AUS,"
AlphaTauri Honda RBPT
",6,
17,,18,"

Zhou
Guanyu
ZHO

",CHN,"
Alfa Romeo Ferrari
",6,
18,,19,"

Kevin
Magnussen
MAG

",DEN,"
Haas Ferrari
",3,
19,,20,"

Liam
Lawson
LAW

",NZL,"
AlphaTauri Honda RBPT
",2,
20,,21,"

Logan
Sargeant
SAR

",USA,"
Williams Mercedes
",1,
21,,22,"

Nyck
De Vries
DEV

",NED,"
AlphaTauri Honda RBPT
",0,
